Country Name,Country Code,Series Name,Series Code,2025 [YR2025],2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,..,0.0034,0.0033,0.0032,0.003,0.0029,0.0028,0.0026,0.0026,0.0024,0.0024,0.0022,0.0021,0.0021,0.002,0.0019,0.0018,0.0018,0.0017,0.0017,0.0017,0.0015,0.0015,0.0015,0.0014,0.0014,0.0014,0.0014,0.0012,0.0013,0.0013,0.0012,0.0011,0.0011,0.0011,0.001,0.0009,0.0009,0.0009,0.0009,0.0009,0.0008,0.0008,0.0007,0.0007,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,532809933,520655398,508318102,496366058,484978794,473687685,462522286,451395343,440150152,428797338,417536152,406457241,395543613,384913331,374374251,363951468,353922925,344153435,334544275,325222154,316156999,307309912,298744790,290455651,282407479,274612131,267171783,259988556,252921348,246128722,239501493,233041347,226927299,220890339,214885785,209281291,203785781,198216830,192844453,187637529,182564486,177653652,173065335,168431728,163628870,159037032,154596206,150280969,146140666,142222964,138459092,134804113,131345703,128075363,124974798,121991241,119082123,116317933,113711893,111201929,108754449,106384410,104089175,101854756,99706674,97630925
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,261.934,251.6472,259.3996,255.7641,236.4906,239.1588,228.9951,216.099,220.3771,209.7144,208.207,197.376,180.417,176.995,165.9665,147.3806,155.0185,146.1857,150.9714,158.2906,156.9244,158.042,145.6422,155.4386,146.5159,136.9469,135.0323,140.1307,140.7737,121.6527,111.4841,115.0773,116.8794,108.0191,102.7861,108.6366,103.4746,96.0138,99.4147,102.0227,97.9266,96.6786,94.8713,98.8627,114.5027,124.1475,94.0519,90.4438,103.4932,91.2785,113.8977,91.7658,70.5594,57.2307,43.1109,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..,0.503085151918467,0.495058505707121,0.52259737711558,0.527371718442601,0.499254271303253,0.51707519235084,0.507304967920327,0.490966546343485,0.513942323028134,0.502266448055976,0.51224822440794,0.498999335377968,0.468721100231262,0.472775570240807,0.456012723102961,0.416420043996867,0.450434266332399,0.436969665674297,0.464210073462585,0.500670870803654,0.510638914894486,0.529020104417553,0.501426636040901,0.55040539489395,0.533537609815205,0.512579953100811,0.519377860616296,0.554048525789132,0.571951533555682,0.507941301226043,0.478387639940993,0.507110869900232,0.529128618884504,0.502681459362238,0.491138503154589,0.533092149348732,0.522027317256562,0.497882093606291,0.529823114436771,0.558831031354039,0.551221992329209,0.558624868463693,0.563262641347478,0.604188612926313,0.719975081023896,0.803043640023093,0.625840388346178,0.618881810761694,0.727682767179567,0.659245259242347,0.84491264743532,0.698658562130502,0.550920944881491,0.457937927613214,0.353393404695342,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,..,1.514,1.4556,1.4155,1.6439,1.1904,1.1848,1.1091,1.236,0.7523,0.5897,0.6641,0.9263,0.4507,0.2471,0.6108,0.3096,0.3529,0.2741,0.3534,0.2551,0.2801,0.2624,0.272,0.3231,0.2423,0.2616,0.2222,0.1716,0.1312,0.093,0.1429,0.1312,0.1153,0.1164,0.1314,0.1497,0.1529,0.087,0.1066,0.2043,0.1965,0.2077,0.1537,0.2346,0.1804,0.1448,0.1061,0.129,0.0834,0.0806,0.0698,0.0701,0.0701,0.0701,0.0701,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,..,12.426,11.9931,12.3841,12.2727,11.6975,10.4126,9.3148,8.5909,8.3311,12.2257,13.3585,12.328,11.3538,11.0614,11.0815,8.4248,10.7076,10.2799,11.2841,10.9739,8.2792,9.5937,10.7185,11.5102,10.5969,9.8899,9.3059,8.4635,7.9972,7.3064,6.9206,7.4632,8.2118,7.242,7.3461,9.7724,9.2834,9.7114,8.0768,8.1799,7.5006,7.5621,7.8787,7.1044,6.5112,6.1691,5.9297,5.2697,4.4801,4.0474,3.6809,3.3843,3.1552,3.0338,3.0338,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5,..,34.9597,32.4378,32.9127,36.1666,38.7978,40.7682,40.2149,40.5792,38.9272,41.1025,42.0535,43.1637,42.2747,51.9961,51.8143,49.825,53.5292,53.6558,59.3181,66.1719,67.2809,70.5471,63.343,76.7496,75.5297,68.7989,70.9,76.0153,83.3809,70.4642,63.7683,61.6538,60.2925,57.7784,55.9207,55.1897,50.0504,45.7055,50.983,52.622,49.7383,45.3388,44.3688,51.5192,71.3561,84.6425,54.8574,56.0722,73.3112,65.1312,90.5903,69.7048,50.3084,38.8103,24.5014,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,..,21.7507,21.6229,22.5579,22.6614,18.2762,17.8348,16.665,15.8203,17.6229,18.4047,18.1181,16.8728,17.9244,17.8928,12.0044,11.4131,14.0791,13.0816,11.8629,11.8897,12.7185,11.8853,6.6148,6.6849,7.2114,6.9241,6.1497,6.1206,6.4803,5.697,5.8616,6.1708,6.4821,5.6805,5.6315,6.9442,7.2851,6.6891,6.089,7.1926,6.5962,7.9049,7.8882,7.6953,6.9897,6.8907,6.9582,5.9958,6.3099,5.7594,5.3569,4.9787,4.5856,4.2029,4.2029,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,..,33.7165,33.2706,34.4196,33.221,28.9171,26.8674,25.3483,22.6317,22.8237,18.8173,17.0064,17.0203,15.6191,12.5641,11.1671,9.9203,10.4748,8.216,7.7962,6.8856,7.2776,7.1669,6.9615,6.9705,5.2999,5.4144,5.2433,4.9855,4.7984,4.0875,3.9948,5.1248,5.1469,5.0357,4.7173,4.9833,4.8307,4.0364,3.9555,3.746,3.1702,3.2991,3.7866,3.7893,3.2425,3.1284,2.8431,2.8194,2.7852,2.6258,2.4281,2.4121,2.3897,2.1797,2.3688,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,..,45.5711,42.9397,44.1713,43.4542,42.5011,40.2727,40.2388,38.6009,43.2302,38.848,35.4954,30.4769,27.5753,24.3475,24.0343,19.361,19.097,19.7843,18.8102,16.9705,15.3385,14.5021,15.616,13.5371,13.0885,13.1304,13.028,11.0474,9.9689,9.1727,8.6322,9.2725,8.7277,8.1643,8.564,8.5521,9.3173,9.0273,9.006,8.5717,8.973,9.0993,7.7672,6.6254,5.2992,4.5498,4.6947,4.0386,3.7293,2.9194,2.4698,2.3642,2.0296,1.7308,1.7308,..,..,..,..,..,..,..,..,..,..
